series,h,model,MAE,RMSE,MAPE_%,coverage95_%,n
gasoline,1,"SARIMA(0,1,2)(0,0,1)52 (project)",2.4845401729586145,3.033600678940655,6.052281093156677,90.0,60
gasoline,1,SARIMA by AIC,2.4845401729586145,3.033600678940655,6.052281093156677,90.0,60
gasoline,1,Naive (random walk),3.0,3.63318042491699,7.308313895327598,88.33333333333333,60
gasoline,1,Seasonal naive (t-52),3.4166666666666665,4.268098718008601,8.146389205526221,96.66666666666667,60
gasoline,1,Mean of last 4 weeks,2.5416666666666665,3.125833222251842,6.169478723524687,91.66666666666666,60
gasoline,4,"SARIMA(0,1,2)(0,0,1)52 (project)",2.5603333499466894,3.2992019835447377,6.265446929559379,91.22807017543859,57
gasoline,4,SARIMA by AIC,2.5603333499466894,3.2992019835447377,6.265446929559379,91.22807017543859,57
gasoline,4,Naive (random walk),3.245614035087719,4.084631014708157,7.926061813999254,98.24561403508771,57
gasoline,4,Seasonal naive (t-52),3.4210526315789473,4.269434409314493,8.183785506075155,96.49122807017544,57
gasoline,4,Mean of last 4 weeks,2.763157894736842,3.531810330485814,6.732519597916655,100.0,57
diesel,1,"SARIMA(0,1,2)(0,0,1)52 (project)",1.507829971226947,1.929012259897568,44.566546044252945,96.66666666666667,60
diesel,1,SARIMA by AIC,1.507829971226947,1.929012259897568,44.566546044252945,96.66666666666667,60
diesel,1,Naive (random walk),1.95,2.38397427279183,50.28174603174603,95.0,60
diesel,1,Seasonal naive (t-52),1.7166666666666666,2.284002335083453,49.29365079365079,100.0,60
diesel,1,Mean of last 4 weeks,1.4208333333333334,1.7615689029952817,38.68419312169313,100.0,60
diesel,4,"SARIMA(0,1,2)(0,0,1)52 (project)",1.5126368143269182,2.0660925795798373,46.93039682957842,96.49122807017544,57
diesel,4,SARIMA by AIC,1.5126368143269182,2.0660925795798373,46.93039682957842,96.49122807017544,57
diesel,4,Naive (random walk),1.5087719298245614,2.068985682499027,44.152742968532436,100.0,57
diesel,4,Seasonal naive (t-52),1.6140350877192982,2.1683529200674214,45.92314118629908,100.0,57
diesel,4,Mean of last 4 weeks,1.381578947368421,1.7386852261952057,38.7256335282651,100.0,57
